id,prestige
---,0.000
REB,0.000
PIR,0.000
NAT,0.000
SWE,-59.490
DAN,-67.512
FIN,-0.119
GOT,-0.119
NOR,-44.623
SHL,-0.374
SCA,7.000
EST,5.000
LVA,-0.119
SMI,5.000
KRL,5.000
ICE,5.000
ACH,-0.153
ALB,12.150
ATH,-0.119
BOS,-5.234
BUL,-0.153
BYZ,-2.169
CEP,-0.119
CRO,-3.758
CRT,-0.119
CYP,-1.532
DAL,-0.119
EPI,-0.119
GRE,5.000
KNI,23.465
MOE,-0.214
MOL,-0.119
MON,-0.153
NAX,-0.119
RAG,-6.587
RMN,5.000
SER,-0.119
TRA,-0.629
WAL,-0.119
HUN,-20.745
SLO,5.000
TUR,98.722
CNN,-51.315
CRN,-0.119
ENG,-48.800
LEI,-1.551
IRE,5.000
MNS,-0.090
SCO,-76.446
TYR,5.794
WLS,5.000
NOL,-0.386
GBR,9.000
MTH,-0.119
ULS,-0.119
DMS,-0.119
SLN,-3.887
KID,7.617
HSC,5.000
ORD,23.568
TRY,34.474
FLY,-1.300
MCM,-3.100
KOI,-0.119
LOI,-48.266
BRZ,5.000
CAN,5.000
CHL,5.000
COL,5.000
HAT,5.000
LAP,5.000
LOU,5.000
MEX,5.000
PEU,5.000
PRG,5.000
QUE,5.000
CAM,5.000
USA,5.000
VNZ,5.000
AUS,5.000
CAL,5.000
TEX,5.000
CSC,5.000
ALA,5.000
NZL,5.000
ILI,5.000
FLO,5.000
VRM,5.000
SNA,5.000
WSI,5.000
CUB,5.000
DNZ,-0.119
KRA,-0.119
LIT,19.372
LIV,-0.259
MAZ,-1.260
POL,8.569
PRU,14.548
KUR,5.000
RIG,23.352
TEU,-1.172
PLC,11.000
VOL,-0.563
KIE,5.000
CHR,-0.446
OKA,-0.119
ALE,-0.119
ALS,78.766
AMG,-0.883
AUV,-1.082
AVI,-0.119
BOU,-0.421
BRI,7.247
BUR,37.403
CHP,-0.329
COR,-0.119
DAU,-0.153
FOI,-0.911
FRA,19.767
GUY,-0.188
NEV,-0.490
NRM,7.000
ORL,-1.330
PIC,-0.214
PRO,2.060
SPI,5.000
TOU,-0.419
BER,-0.119
AAC,83.189
ANH,-1.515
ANS,-24.419
AUG,12.448
BAD,-0.119
BAV,5.000
BOH,-40.465
BRA,0.552
BRE,18.022
BRU,-30.533
EFR,9.395
FRN,30.067
GER,5.000
HAB,45.473
HAM,9.342
HAN,5.000
HES,-8.352
HLR,5.000
KLE,-19.382
KOL,49.625
LAU,-0.119
LOR,-4.291
LUN,-20.077
MAG,45.518
MAI,-1.309
MEI,5.000
MKL,6.572
MUN,78.552
MVA,-0.214
OLD,53.895
PAL,10.332
POM,5.000
SAX,69.850
SIL,5.000
SLZ,52.761
STY,-0.355
SWI,27.689
THU,0.021
